ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 03:00:00,24035.65,24068.45,24017.65,24062.85,29946
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 04:00:00,24062.55,24089.45,24027.55,24044.05,23402
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 05:00:00,24044.35,24091.55,23979.85,24048.45,33399
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 06:00:00,24048.65,24182.05,24046.05,24163.55,27962
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 07:00:00,24163.35,24292.95,24157.75,24253.85,40001
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 08:00:00,24253.55,24277.45,24147.75,24164.25,55778
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 09:00:00,24165.25,24216.05,24090.75,24206.95,46331
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 10:00:00,24207.25,24220.55,24154.95,24192.65,40814
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 11:00:00,24192.85,24209.95,24083.05,24169.65,43393
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 12:00:00,24169.85,24183.05,24051.15,24066.15,47574
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 13:00:00,24066.05,24103.15,23921.65,24002.15,90419
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 14:00:00,24002.25,24129.65,23962.75,24029.85,111560
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 15:00:00,24030.25,24170.8,24027.15,24082.0,85896
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 16:00:00,24082.1,24132.35,24030.5,24067.2,69316
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 17:00:00,24067.3,24081.0,23947.0,24028.6,76507
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 18:00:00,24029.0,24134.1,23995.3,24062.05,68670
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 19:00:00,24062.35,24103.53,23974.15,24001.9,51811
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 20:00:00,24002.03,24331.45,23998.07,24187.42,50790
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 22:00:00,24214.15,24249.95,24170.55,24216.45,13369
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-24 23:00:00,24215.95,24232.25,24192.15,24202.75,11519
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 00:00:00,24202.35,24283.65,24173.55,24238.15,28796
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 01:00:00,24238.45,24257.95,24182.25,24185.65,29313
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 02:00:00,24186.15,24189.75,24123.45,24126.65,26245
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 03:00:00,24126.55,24178.55,24110.25,24170.25,20460
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 04:00:00,24170.05,24210.25,24165.45,24208.45,14835
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 05:00:00,24208.35,24218.45,24163.25,24171.25,21763
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 06:00:00,24171.05,24178.95,24114.15,24167.05,21828
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 07:00:00,24165.45,24209.05,24141.35,24197.45,23531
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 08:00:00,24198.15,24323.85,24198.05,24229.05,40909
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 09:00:00,24229.35,24270.55,24202.05,24243.55,28954
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 10:00:00,24243.35,24277.05,24216.15,24237.15,24922
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 11:00:00,24237.45,24311.65,24230.65,24284.65,27667
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 12:00:00,24284.55,24329.15,24162.45,24237.95,51002
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 13:00:00,24238.75,24315.25,24150.45,24157.25,80636
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-25 14:00:00,24157.35,24308.75,24118.35,24273.55,89238
